time,crank_v,pressure_v,state,rel_crank_ang,pressure_bar
0.0,9.888041,-0.208674,nan,,-2.1284748
2e-05,10.059422,-0.208016,nan,,-2.1217631999999997
4e-05,0.19953,-0.208345,nan,,-2.1251189999999998
6e-05,9.482451,-0.207687,nan,,-2.1184074
8e-05,10.142646,-0.210647,nan,,-2.1485993999999997
0.0001,0.200846,-0.208674,nan,,-2.1284748
0.00012,8.372595,-0.20966,nan,,-2.138532
0.00014,10.122909,-0.210647,nan,,-2.1485993999999997
0.00016,0.200846,-0.210318,nan,,-2.1452435999999997
0.00018,3.70036,-0.210318,nan,,-2.1452435999999997
0.0002,10.044949,-0.210647,nan,,-2.1485993999999997
0.00022,0.201504,-0.210318,nan,,-2.1452435999999997
0.00024,0.200188,-0.211634,nan,,-2.1586667999999998
0.00026,9.93837,-0.211634,nan,,-2.1586667999999998
0.00028,0.212688,-0.20966,nan,,-2.138532
0.0003,0.199859,-0.212292,nan,,-2.1653784
0.00032,9.800542,-0.210976,nan,,-2.1519551999999997
0.00034,9.988699,-0.213608,nan,,-2.1788016
0.00036,0.199859,-0.210976,nan,,-2.1519551999999997
0.00038,9.420281,-0.212292,nan,,-2.1653784
0.0004,9.979817,-0.212621,nan,,-2.1687342
0.00042,0.201175,-0.212621,nan,,-2.1687342
0.00044,8.20615,-0.212621,nan,,-2.1687342
0.00046,9.940015,-0.21295,nan,,-2.17209
0.00048,0.200188,-0.213608,nan,,-2.1788016
0.0005,3.728649,-0.211634,nan,,-2.1586667999999998
0.00052,9.905804,-0.213608,nan,,-2.1788016
0.00054,0.200517,-0.213936,nan,,-2.1821471999999997
0.00056,0.19953,-0.214594,nan,,-2.1888587999999998
0.00058,9.834752,-0.214923,nan,,-2.1922146
0.0006,0.201833,-0.213936,nan,,-2.1821471999999997
0.00062,0.198215,-0.214923,nan,,-2.1922146
0.00064,0.198872,-0.215581,nan,,-2.1989262
0.00066,0.198215,-0.213936,nan,,-2.1821471999999997
0.00068,9.739687,-0.213936,nan,,-2.1821471999999997
0.0007,9.89166,-0.214265,nan,,-2.1855029999999998
0.00072,9.905804,-0.215581,nan,,-2.1989262
0.00074,0.200517,-0.213279,nan,,-2.1754458
0.00076,8.64792,-0.215581,nan,,-2.1989262
0.00078,9.860739,-0.216239,nan,,-2.2056378
0.0008,0.199201,-0.213936,nan,,-2.1821471999999997
0.00082,4.533552,-0.216568,nan,,-2.2089936
0.00084,9.696924,-0.215581,nan,,-2.1989262
0.00086,0.19953,-0.215581,nan,,-2.1989262
0.00088,0.195912,-0.215252,nan,,-2.1955704
0.0009,9.646924,-0.21591,nan,,-2.202282
0.00092,0.200517,-0.214594,nan,,-2.1888587999999998
0.00094,0.198544,-0.21591,nan,,-2.202282
0.00096,9.52653,-0.215581,nan,,-2.1989262
0.00098,9.704489,-0.21591,nan,,-2.202282
0.001,0.197886,-0.217555,nan,,-2.219061
0.00102,9.222256,-0.216239,nan,,-2.2056378
0.00104,9.734424,-0.217226,nan,,-2.2157052
0.00106,0.198544,-0.216568,nan,,-2.2089936
0.00108,8.055166,-0.217226,nan,,-2.2157052
0.0011,9.703174,-0.217226,nan,,-2.2157052
0.00112,0.198544,-0.219528,nan,,-2.2391856
0.00114,3.007955,-0.217226,nan,,-2.2157052
0.00116,9.716989,-0.21591,nan,,-2.202282
0.00118,0.19953,-0.216568,nan,,-2.2089936
0.0012,0.198215,-0.216239,nan,,-2.2056378
0.00122,9.64199,-0.21591,nan,,-2.202282
0.00124,0.201175,-0.21887,nan,,-2.232474
0.00126,0.197886,-0.216897,nan,,-2.2123494
0.00128,9.521267,-0.217884,nan,,-2.2224168
0.0013,9.711726,-0.21887,nan,,-2.232474
0.00132,0.198544,-0.218541,nan,,-2.2291182
0.00134,9.156796,-0.217555,nan,,-2.219061
0.00136,9.73245,-0.21887,nan,,-2.232474
0.00138,0.198215,-0.217555,nan,,-2.219061
0.0014,8.10977,-0.219528,nan,,-2.2391856
0.00142,9.713042,-0.216568,nan,,-2.2089936
0.00144,0.198872,-0.219857,nan,,-2.2425414
0.00146,2.584288,-0.218213,nan,,-2.2257725999999995
0.00148,9.697911,-0.218213,nan,,-2.2257725999999995
0.0015,0.200188,-0.217555,nan,,-2.219061
0.00152,0.197886,-0.217226,nan,,-2.2157052
0.00154,9.645937,-0.219528,nan,,-2.2391856
0.00156,0.195254,-0.218541,nan,,-2.2291182
0.00158,0.197886,-0.221502,nan,,-2.2593204
0.0016,9.543635,-0.21887,nan,,-2.232474
